_id,user_id,txn_id,txn_time,location_lat,location_long,device_id,login_time,login_lat,login_long,login_device,amount,haversine_km,new_device,login_txn_gap_min,batch_name
687a850c47db02974c24185f,user_120,16eafdec-af5f-4d18-8abc-03ae1f464e23,2025-07-14 14:02:15,28.26973599534018,85.95092034262909,device_38,2025-07-14 13:32:15,27.704967141530112,85.29861735698829,device_8,1127.92,89.70017078176285,1,30.0,batch_20250718_231656
687a850c47db02974c241860,user_103,c9447a6d-37c8-4bf5-8ce9-add516569f52,2025-06-25 14:52:15,28.355579747803503,85.8744021033458,device_49,2025-06-25 12:52:15,27.697658466252765,85.2976586304305,device_3,2398.65,92.50228589120985,1,120.0,batch_20250718_231656
687a850c47db02974c241861,user_100,60254559-eaec-4dc4-865d-043ac7020ead,2025-07-15 08:35:15,28.148963486859405,85.75885262507883,device_31,2025-07-15 06:35:15,27.69530525614065,85.30542560043585,device_20,3025.6,67.29980062241137,1,120.0,batch_20250718_231656
687a850c47db02974c241862,user_122,f2ff0fdb-6f6d-4945-9fab-8817323a1d53,2025-06-26 16:15:15,28.02992783946436,85.72463844462932,device_45,2025-06-26 15:15:15,27.70241962271566,85.28086719755342,device_8,3151.7,56.8258989032727,1,60.0,batch_20250718_231656
687a850c47db02974c241863,user_125,ee6e42a3-ea49-4b7b-9763-cedae4a112eb,2025-06-20 14:01:15,28.09906928124453,85.66191210319242,device_44,2025-06-20 13:51:15,27.689871688796654,85.30314247332595,device_23,2031.13,57.56250775139777,1,10.0,batch_20250718_231656
687a850c47db02974c241864,user_104,61acbc04-6275-47d1-9662-e51ddaff2f28,2025-07-11 04:43:15,28.22140930815801,85.65526741837378,device_34,2025-07-11 04:38:15,27.71465648768921,85.29774223699513,device_13,2115.41,66.39255191218915,1,5.0,batch_20250718_231656
687a850c47db02974c241865,user_111,5a95f081-7a89-462b-86d1-59f65eba3ed2,2025-06-28 05:58:15,28.07945681501252,85.83867902773166,device_45,2025-06-28 05:53:15,27.694556172754748,85.3011092258971,device_24,2913.03,67.993421013307,1,5.0,batch_20250718_231656
687a850c47db02974c241866,user_129,a3b0bfe3-7ce0-4d07-ad78-1f38a2841518,2025-07-05 12:14:15,28.13382295187787,85.98231088095297,device_51,2025-07-05 11:44:15,27.69399361310081,85.29708306250207,device_27,3283.34,83.21656163836427,1,30.0,batch_20250718_231656
687a850c47db02974c241867,user_127,5d47ebf1-d1c8-4a9b-8f97-3b1f19c8575d,2025-07-05 20:37:15,28.282119518962936,85.66733852571333,device_52,2025-07-05 20:32:15,27.69986502775262,85.28942289071044,device_2,1525.54,74.62324483726763,1,5.0,batch_20250718_231656
687a850c47db02974c241868,user_109,714e6511-d757-4dd8-b9e5-dd188764c117,2025-07-15 06:54:15,28.069270031060206,85.80008942234811,device_39,2025-07-15 06:49:15,27.702088635950048,85.2804032987612,device_13,2540.35,65.38934359954462,1,5.0,batch_20250718_231656
687a850c47db02974c241869,user_126,306c6684-344e-4080-a790-d656fa0701cd,2025-07-06 09:26:15,28.195819837561128,85.77160331325297,device_52,2025-07-06 08:56:15,27.707384665799957,85.3017136828119,device_7,1701.4,71.27354515372471,1,30.0,batch_20250718_231656
687a850c47db02974c24186a,user_129,0b784db0-3b72-4db8-bab7-ee711e99204a,2025-06-25 18:45:15,28.139150903000345,85.89851378053794,device_36,2025-06-25 16:45:15,27.685214780096324,85.29280155791605,device_21,2903.63,78.03827594048511,1,120.0,batch_20250718_231656
687a850c47db02974c24186b,user_107,216175b6-36fe-4375-b87a-5ebf39c7a71d,2025-07-12 00:25:15,28.235844579835163,85.74386137040473,device_51,2025-07-11 23:55:15,27.703436182895683,85.28236959844637,device_30,3596.73,74.55734725124476,1,30.0,batch_20250718_231656
687a850c47db02974c24186c,user_107,068d0678-e912-4316-acc6-12d223ab060f,2025-06-26 03:56:15,28.29633073224653,85.89924477480002,device_57,2025-06-26 03:51:15,27.693230779996934,85.30611676288841,device_8,644.45,88.81778446447261,1,5.0,batch_20250718_231656
687a850c47db02974c24186d,user_110,012a0d65-ecb7-449d-a876-8cf596386a38,2025-07-05 06:45:15,28.224734167908128,85.89446238895373,device_49,2025-07-05 06:35:15,27.69160782476777,85.29690787624149,device_30,4443.65,83.41895237754477,1,10.0,batch_20250718_231656
687a850c47db02974c24186e,user_110,369af18c-0c5d-4d1c-94e7-f4b0df6d9158,2025-07-10 18:18:15,28.084574760220946,85.6785227478253,device_60,2025-07-10 17:18:15,27.695208257621548,85.29814341023337,device_29,3392.83,57.20157070093035,1,60.0,batch_20250718_231656
687a850c47db02974c24186f,user_104,8a7f38fd-0051-4cdb-a711-6dd42b17b186,2025-07-09 10:34:15,28.200924246065902,85.9139156900749,device_39,2025-07-09 08:34:15,27.70812525822394,85.3135624002857,device_18,3861.56,80.49694343809682,1,120.0,batch_20250718_231656
687a850c47db02974c241870,user_113,ad367a03-ecb8-4c45-8511-94b5bb2e4170,2025-06-18 20:24:15,28.239755920801315,85.94735245910054,device_35,2025-06-18 19:54:15,27.703616360250475,85.29354880245394,device_8,2792.87,87.61575289239686,1,30.0,batch_20250718_231656
687a850c47db02974c241871,user_102,45a008f2-0467-4c64-aabf-e36981bead75,2025-06-23 12:54:15,27.937667229199924,85.89783668699566,device_51,2025-06-23 12:49:15,27.6996417396089,85.31564643655814,device_5,1219.92,63.07635628956558,1,5.0,batch_20250718_231656
687a850c47db02974c241872,user_121,68d872a8-fc64-45ca-8812-4c71989ddc95,2025-07-03 19:45:15,28.21004654833593,85.59825303503524,device_50,2025-07-03 18:45:15,27.700870470682386,85.29700992649533,device_13,4982.55,63.88283504921633,1,60.0,batch_20250718_231656
687a850c47db02974c241873,user_116,3ca4289a-ca0d-404d-a6b9-03ad0bc5cf09,2025-07-08 20:54:15,28.34559268559578,85.75174410388775,device_54,2025-07-08 20:49:15,27.697803281121622,85.30357112571511,device_22,1015.48,84.40227837949934,1,5.0,batch_20250718_231656
