txn_id,user_id,txn_time,location_lat,location_long,device_id,txn_type,amount,is_fraud
16bd3e5e-3e7b-473a-af3a-1e99fb6b705a,user_1353,2025-07-12 05:36:42,-19.158217,-72.723592,device_47,credit,57.2,0
e94d711f-3f08-4c64-b5a0-c20510f0210e,user_1891,2025-06-27 01:22:24,25.2386305,123.274242,device_10,credit,5106.59,0
f5b10c54-2d54-440c-9b14-a84555c22dd1,user_510,2025-07-10 12:11:52,24.6158305,-150.426542,device_53,credit,2552.3,0
ff62000b-2e2a-4592-aad6-32324d627660,user_1089,2025-07-03 08:45:22,-69.6224985,-171.922168,device_90,debit,3731.51,0
e8e7005b-3acb-4200-b2fa-1cc26955e349,user_1646,2025-06-24 11:49:25,63.4014795,-121.179162,device_1,credit,1712.5,0
87bcb6fc-665d-457a-b332-1053214db135,user_1389,2025-07-05 01:19:03,63.0504785,86.386144,device_38,credit,6159.48,0
9165f579-6c61-43cc-8f23-1a7395dec6c8,user_877,2025-07-15 18:14:38,28.898709,-53.626562,device_34,debit,5359.73,0
5459ebd5-1e98-4b4d-92e3-fbf1047459ae,user_462,2025-07-12 12:44:51,15.5387345,-60.626540,device_62,debit,5056.69,0
6bad8264-352d-4432-aef6-f155d3bf8268,user_206,2025-07-10 17:50:33,-12.0281105,-109.662019,device_2,credit,8907.86,0
6981bd3d-d754-4d8f-9f63-65cabc4b86b9,user_1806,2025-07-13 23:28:51,-30.975270,68.990242,device_66,credit,1384.16,0
8cabaf96-5e63-4292-a860-f1db2d437954,user_818,2025-07-11 03:03:05,86.130049,46.301422,device_4,credit,1105.97,0
a8a07577-b99d-4b66-a3e9-daa2245a894d,user_1277,2025-06-22 10:38:49,-41.7860875,-32.552719,device_12,credit,2410.17,0
633aef9c-9b12-49d6-97c9-1226fa7844a6,user_1097,2025-07-05 05:35:46,44.3196925,110.046396,device_24,credit,1496.25,0
66e9c168-a663-4f09-bf1a-c8584edb3cd5,user_726,2025-06-30 20:46:04,-17.0954635,24.685929,device_97,credit,2543.03,0
fc21294e-ef79-4582-87c6-fc411d1cbe23,user_1738,2025-06-19 07:24:48,-58.3610705,-95.936477,device_22,credit,5010.1,0
fca7ff22-124e-42f8-acb4-8cdc00e752ad,user_1221,2025-07-03 00:59:21,54.5827065,27.430058,device_52,debit,1033.75,0
0c7f33c2-5bbf-430a-acf1-7800a7a70d01,user_1359,2025-06-27 15:16:25,-32.2492605,47.525814,device_59,debit,1970.53,1
967e7d03-76ba-428a-acb4-26302902da79,user_939,2025-06-19 10:13:38,16.4296915,-166.689606,device_68,debit,8428.2,0
50f228c9-f2ed-445b-8c99-f259494bd12f,user_452,2025-07-12 15:08:57,66.594935,-61.834896,device_2,credit,8128.1,0
1be42eb2-5b56-4fc8-b9fe-676d5bea19c6,user_1527,2025-07-16 09:00:19,-11.8748655,137.886246,device_48,debit,6404.29,0
504bf9f2-8eae-4fed-a6b1-905a01879ad0,user_792,2025-07-09 08:20:27,82.061611,-2.777525,device_60,debit,5401.95,0
1173332e-7e36-4956-ad97-5eafa9fa03ea,user_1273,2025-06-21 00:51:44,21.039756,-22.399296,device_80,debit,4779.37,0
56888a14-07dc-4a9a-a03e-f16b46d3bdfa,user_1975,2025-06-18 10:18:44,-10.2597935,-102.541483,device_69,credit,8668.1,0
a7fa451b-7eb5-43d2-8518-4b9f102277d4,user_538,2025-07-02 21:13:24,34.460085,20.170651,device_52,debit,1861.36,0
3b64814e-595c-4660-a79c-c74c465ae392,user_790,2025-06-30 14:00:59,-5.6493875,66.656606,device_2,credit,698.55,0
d76b668a-b271-4805-a303-18ea14e9d200,user_1563,2025-07-10 02:25:15,78.4213775,45.331845,device_52,debit,6089.39,0
d755f36f-731a-4ea8-a46a-0c3d68f332c6,user_763,2025-07-05 12:34:43,20.0448145,-177.403844,device_11,credit,2053.03,0
7918f362-4a9f-4d67-a747-3a8c834f1bb1,user_791,2025-06-19 06:15:28,28.166943,154.993606,device_4,debit,2184.57,0
473d761e-440b-446e-b5c6-7339a2fede67,user_1146,2025-07-12 12:08:40,87.129985,-26.526468,device_93,credit,2594.72,0
87686974-c7aa-4aeb-8f71-c977379551a9,user_330,2025-06-27 18:10:19,44.6548615,41.599728,device_89,credit,1255.41,0
8d50d49a-c699-44dc-8f09-a40ccc7a510b,user_232,2025-07-08 22:52:34,61.5822475,-125.965013,device_87,debit,1821.82,0
83f8551b-39a5-4a89-9be5-2122dc8a7348,user_1232,2025-06-25 07:54:16,-57.3651935,12.195341,device_19,debit,2265.98,0
72752949-abab-4491-9951-e3db4cccab22,user_587,2025-07-02 00:04:05,-9.953505,87.160325,device_72,credit,4327.86,0
