txn_id,user_id,txn_time,location_lat,location_long,device_id,txn_type,amount,is_fraud,login_time,login_lat,login_long,login_device,haversine_km,new_device,login_txn_gap_min,time_dev_z
5365d72f-6569-4f03-be3b-930a7245ee33,user_1,2025-07-05 07:26:24,79.1016445,125.584274,device_33,debit,6262.08,0,2025-07-04 09:49:03,-22.896798,147.657579,device_13,11424.976084991576,1,1297.35,-0.4250390786787769
4f608213-7119-45ae-b79f-17ce71a3c45d,user_1,2025-07-08 20:37:03,54.518719,122.50841,device_81,debit,6495.06,0,2025-07-07 06:00:43,22.030131,-160.994051,device_1,7168.12310221724,1,2316.3333333333335,0.9599454244039788
28baa27c-6ce4-49b1-b09c-b8684ad70cc6,user_1,2025-07-12 03:43:10,57.4957125,36.782101,device_25,debit,7365.21,0,2025-07-11 15:39:02,89.331201,-117.151929,device_43,3681.244057137259,1,724.1333333333333,-1.2041452468288154
d60c3ac6-b762-46e9-bd4c-046db4f86aee,user_1,2025-07-13 02:41:29,-9.6343405,11.76794,device_33,debit,8119.32,0,2025-07-11 15:39:02,89.331201,-117.151929,device_43,11125.507715498527,1,2102.45,0.6692389011036136
28923783-ca6b-4d6a-892d-eaeacf5a742d,user_10,2025-06-24 05:32:33,-28.6061535,97.4889,device_86,debit,264.34,0,2025-06-18 23:21:14,43.19444,-135.863611,device_78,15035.202667170293,1,7571.316666666667,-0.7010027093954414
3751da07-4051-4ecb-98ed-a9f5fdedc99a,user_10,2025-07-01 08:07:36,75.228459,33.962461,device_8,credit,6024.24,0,2025-06-18 23:21:14,43.19444,-135.863611,device_78,6825.8690962572555,1,17806.366666666665,1.1451373704040955
50ba14c9-a8ba-451f-95b3-4754e719c7e4,user_10,2025-07-13 04:16:42,85.571149,161.716037,device_66,debit,1468.33,0,2025-07-06 22:21:18,13.7688945,-118.292125,device_22,8395.546021533999,1,8995.4,-0.44413466100865384
ea014ec5-7900-4fcc-9c79-b1d414f68d2d,user_100,2025-06-24 16:23:57,24.487809,-166.575653,device_89,credit,8067.66,0,2025-06-24 02:37:01,31.222194,26.858502,device_100,13657.610206297228,1,826.9333333333333,-0.9726414530954027
93ebb8e7-b22b-4f9f-91e8-ab86b5aad85a,user_100,2025-06-25 05:04:52,-60.3843315,52.725831,device_26,debit,797.56,0,2025-06-24 02:37:01,31.222194,26.858502,device_100,10456.29013118342,1,1587.85,-0.5234988260025737
e947f572-4c85-4096-acc1-e17676c4ddb9,user_100,2025-06-25 05:24:55,-10.5000445,17.906838,device_62,credit,9926.29,0,2025-06-24 02:37:01,31.222194,26.858502,device_100,4736.51483619649,1,1607.9,-0.5116640087778955
7e5b6545-3432-42ef-985b-af3c0cebc62b,user_100,2025-06-27 17:02:52,-68.503714,-138.075835,device_9,debit,184.0,0,2025-06-26 00:49:12,5.7541585,-17.862587,device_35,11794.087294039507,1,2413.6666666666665,-0.0360479875440786
b8102ea7-f746-4201-ab2a-8649cfba0274,user_100,2025-07-06 20:36:15,-68.007464,-31.895678,device_71,credit,4218.27,0,2025-07-02 14:27:27,70.32554,-126.692425,device_83,16911.09890747609,1,6128.8,2.1568659259376513
086137e7-3e30-46d4-a7aa-28c61b4118a5,user_100,2025-07-15 04:57:05,43.5868695,71.855038,device_62,debit,2893.67,0,2025-07-14 10:09:10,-30.877956,40.427397,device_18,8876.29072848578,1,1127.9166666666667,-0.7949814661789774
212be075-5e83-404b-a871-459c3b7a0831,user_100,2025-07-16 12:44:09,49.229657,-175.071527,device_82,debit,6175.98,0,2025-07-14 10:09:10,-30.877956,40.427397,device_18,16419.955495094775,1,3034.983333333333,0.3306936178746834
